# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(C1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  1.03996E+01    6.37540E-01   2.11410E-01  -2.06780E+00   5.25540E+00  -5.22810E+00   1.95320E+00
   1 <-  4  1.06860E+01    1.48500E+00   2.29700E+00  -1.74870E+01   4.35620E+01  -4.43700E+01   1.67000E+01
   2 <-  4  1.09557E+01    4.17860E-01   6.30580E-01  -3.65660E+00   8.57460E+00  -8.84100E+00   3.40670E+00
   3 <-  4  1.12091E+01    9.31990E-01   9.30840E-01  -6.76480E+00   1.63650E+01  -1.61410E+01   5.85460E+00
   4 <-  4  1.14464E+01    4.53220E-01   1.70320E-01  -1.36720E+00   3.37220E+00  -3.30750E+00   1.18280E+00
   5 <-  4  1.16677E+01    1.26080E-01  -1.31550E-02   4.19910E-02  -8.75950E-02   1.08420E-01  -4.81610E-02
   6 <-  4  1.18728E+01    4.55710E-01   2.61830E-02  -5.50000E-01   1.42660E+00  -1.25120E+00   3.83850E-01
   7 <-  4  1.20615E+01    5.28450E-01   1.69160E-01  -1.42050E+00   3.44680E+00  -3.25280E+00   1.11650E+00
   8 <-  4  1.22333E+01    4.55470E-01   2.60940E-01  -1.72420E+00   4.02580E+00  -3.89370E+00   1.38580E+00
   9 <-  4  1.23872E+01    3.31360E-01   2.43440E-01  -1.43240E+00   3.27070E+00  -3.21750E+00   1.17390E+00
  10 <-  4  1.25220E+01    2.13150E-01   1.61460E-01  -8.92300E-01   2.00730E+00  -1.99160E+00   7.36110E-01
  11 <-  4  1.26357E+01    1.21860E-01   8.24770E-02  -4.39010E-01   9.77610E-01  -9.75230E-01   3.63590E-01
  12 <-  4  1.27253E+01    5.96320E-02   3.36660E-02  -1.74890E-01   3.87380E-01  -3.89290E-01   1.46670E-01
  13 <-  4  1.27858E+01    2.23430E-02   1.04580E-02  -5.34870E-02   1.18290E-01  -1.19910E-01   4.57020E-02
  DE <-  4  1.27902E+01    9.36380E-01   1.37480E+00  -9.11840E+00   2.10090E+01  -2.05820E+01   7.25880E+00
