# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=2) -> e + H2(C1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  2  1.12877E+01    1.45730E+00   2.36790E+00  -1.71010E+01   4.15260E+01  -4.09940E+01   1.47430E+01
   1 <-  2  1.15740E+01    1.63160E-01  -8.01990E-03   1.53280E-03   7.55850E-03   1.38380E-02  -6.82940E-03
   2 <-  2  1.18437E+01    7.90770E-01   6.73860E-01  -4.68250E+00   1.11050E+01  -1.07270E+01   3.79730E+00
   3 <-  2  1.20971E+01    6.98840E-01   8.52900E-01  -5.30250E+00   1.23250E+01  -1.20790E+01   4.35660E+00
   4 <-  2  1.23344E+01    3.85750E-01   4.13810E-01  -2.39280E+00   5.47470E+00  -5.43480E+00   2.00150E+00
   5 <-  2  1.25557E+01    9.48430E-02   6.33340E-02  -3.45300E-01   7.86460E-01  -8.07890E-01   3.12590E-01
   6 <-  2  1.27608E+01    9.55790E-02   4.48540E-03  -3.03580E-02   6.47730E-02  -4.27110E-02   3.93400E-03
   7 <-  2  1.29495E+01    2.11920E-01   9.88370E-02  -5.43180E-01   1.18950E+00  -1.10820E+00   3.74240E-01
   8 <-  2  1.31213E+01    2.69600E-01   1.96410E-01  -1.05800E+00   2.30780E+00  -2.18490E+00   7.62310E-01
   9 <-  2  1.32752E+01    2.89890E-01   2.40520E-01  -1.28510E+00   2.79410E+00  -2.65970E+00   9.40860E-01
  10 <-  2  1.34100E+01    2.85890E-01   2.34500E-01  -1.24940E+00   2.71460E+00  -2.59720E+00   9.29590E-01
  11 <-  2  1.35237E+01    2.66530E-01   1.94700E-01  -1.03870E+00   2.25390E+00  -2.15710E+00   7.75500E-01
  12 <-  2  1.36133E+01    2.32940E-01   1.39300E-01  -7.45900E-01   1.61630E+00  -1.54360E+00   5.55100E-01
  13 <-  2  1.36738E+01    1.75670E-01   7.49990E-02  -4.03130E-01   8.73060E-01  -8.32320E-01   2.99220E-01
  DE <-  2  1.36782E+01    9.03680E-01   7.08500E-01  -4.84750E+00   1.05690E+01  -9.12770E+00   2.72280E+00
